user_id,timestamp,subject,duration,focus,notes
1,2025-01-01 13:00:00,Math,1.0,0,Completed practice problems
1,2025-01-03 06:00:00,Math,2.0,4,Completed practice problems
1,2025-01-04 22:00:00,Economics,2.1,2,Summarized key points
1,2025-01-06 03:00:00,Computer Science,1.9,3,Summarized key points
1,2025-01-07 22:00:00,Biology,3.3,0,Completed practice problems
1,2025-01-09 16:00:00,Computer Science,2.6,0,Quick revision
1,2025-01-10 12:00:00,Computer Science,3.9,5,Summarized key points
1,2025-01-12 10:00:00,Chemistry,2.7,0,Summarized key points
1,2025-01-12 22:00:00,Economics,3.8,5,Focused on weak areas
1,2025-01-13 17:00:00,Math,1.0,3,Reviewed chapter 3
1,2025-01-14 01:00:00,Biology,1.2,1,Watched tutorial videos
1,2025-01-14 18:00:00,Math,2.7,2,Completed practice problems
1,2025-01-16 00:00:00,Chemistry,3.4,0,Quick revision
1,2025-01-16 23:00:00,Math,1.4,3,Summarized key points
1,2025-01-18 13:00:00,Computer Science,3.6,3,Quick revision
1,2025-01-20 04:00:00,Chemistry,0.6,2,Summarized key points
1,2025-01-21 23:00:00,Economics,2.3,1,Focused on weak areas
1,2025-01-22 04:00:00,Economics,0.8,5,Quick revision
1,2025-01-22 09:00:00,Biology,1.1,1,Focused on weak areas
1,2025-01-23 15:00:00,Biology,3.6,5,Watched tutorial videos
1,2025-01-23 23:00:00,Computer Science,2.1,5,Quick revision
1,2025-01-24 19:00:00,Chemistry,2.4,2,Focused on weak areas
1,2025-01-25 13:00:00,Math,0.9,2,Completed practice problems
1,2025-01-27 03:00:00,Economics,1.4,1,Completed practice problems
1,2025-01-27 16:00:00,Math,2.5,4,Summarized key points
1,2025-01-27 21:00:00,Math,0.6,2,Quick revision
1,2025-01-29 10:00:00,Economics,3.5,0,Focused on weak areas
1,2025-01-29 22:00:00,Chemistry,2.1,0,Watched tutorial videos
1,2025-01-31 03:00:00,Chemistry,3.8,1,Reviewed chapter 3
1,2025-02-01 14:00:00,Biology,2.9,0,Quick revision
1,2025-02-03 10:00:00,Biology,2.7,5,Watched tutorial videos
1,2025-02-05 02:00:00,Computer Science,3.1,0,Focused on weak areas
1,2025-02-06 09:00:00,Computer Science,3.3,1,Completed practice problems
1,2025-02-06 23:00:00,Math,2.5,3,Summarized key points
1,2025-02-07 01:00:00,Economics,1.5,3,Watched tutorial videos
1,2025-02-08 14:00:00,Economics,2.2,4,Completed practice problems
1,2025-02-09 00:00:00,Computer Science,0.9,4,Completed practice problems
1,2025-02-10 14:00:00,Math,1.6,5,Watched tutorial videos
1,2025-02-12 13:00:00,Economics,1.3,3,Focused on weak areas
1,2025-02-13 21:00:00,Math,1.6,4,Focused on weak areas
1,2025-02-14 20:00:00,Biology,3.3,4,Completed practice problems
1,2025-02-16 08:00:00,Biology,0.7,1,Completed practice problems
1,2025-02-16 16:00:00,Physics,2.4,5,Quick revision
1,2025-02-17 14:00:00,Chemistry,3.7,4,Quick revision
1,2025-02-18 08:00:00,Chemistry,0.6,3,Summarized key points
1,2025-02-19 20:00:00,Math,2.1,0,Focused on weak areas
1,2025-02-20 23:00:00,Computer Science,1.5,1,Summarized key points
1,2025-02-21 02:00:00,Economics,1.8,0,Summarized key points
1,2025-02-22 07:00:00,Biology,1.6,0,Focused on weak areas
1,2025-02-24 05:00:00,Economics,1.1,2,Watched tutorial videos
1,2025-02-25 12:00:00,Chemistry,2.1,4,Completed practice problems
1,2025-02-26 19:00:00,Physics,3.8,1,Quick revision
1,2025-02-26 20:00:00,Economics,1.8,4,Reviewed chapter 3
1,2025-02-28 08:00:00,Economics,3.9,3,Quick revision
1,2025-03-01 19:00:00,Economics,0.8,5,Focused on weak areas
1,2025-03-02 12:00:00,Computer Science,0.5,2,Focused on weak areas
1,2025-03-03 08:00:00,Math,3.4,4,Completed practice problems
1,2025-03-03 23:00:00,Biology,1.2,2,Reviewed chapter 3
1,2025-03-04 03:00:00,Economics,2.9,4,Focused on weak areas
1,2025-03-05 15:00:00,Economics,2.3,2,Reviewed chapter 3
1,2025-03-06 03:00:00,Economics,1.4,4,Focused on weak areas
1,2025-03-06 13:00:00,Math,1.4,2,Quick revision
1,2025-03-07 22:00:00,Economics,2.4,0,Reviewed chapter 3
1,2025-03-08 03:00:00,Computer Science,0.8,3,Focused on weak areas
1,2025-03-09 15:00:00,Biology,3.9,3,Watched tutorial videos
1,2025-03-11 07:00:00,Physics,0.5,4,Summarized key points
1,2025-03-12 02:00:00,Physics,1.4,0,Completed practice problems
1,2025-03-13 18:00:00,Physics,2.8,1,Reviewed chapter 3
1,2025-03-13 20:00:00,Biology,3.2,2,Quick revision
1,2025-03-15 00:00:00,Computer Science,0.9,4,Focused on weak areas
1,2025-03-15 06:00:00,Computer Science,3.1,5,Summarized key points
1,2025-03-16 22:00:00,Chemistry,2.4,0,Focused on weak areas
1,2025-03-18 17:00:00,Physics,2.1,0,Watched tutorial videos
1,2025-03-20 11:00:00,Biology,3.1,2,Focused on weak areas
1,2025-03-21 01:00:00,Economics,2.0,4,Quick revision
1,2025-03-22 00:00:00,Physics,0.8,3,Reviewed chapter 3
1,2025-03-22 04:00:00,Economics,0.6,4,Reviewed chapter 3
1,2025-03-22 13:00:00,Math,1.0,0,Summarized key points
1,2025-03-23 04:00:00,Computer Science,3.6,0,Completed practice problems
1,2025-03-24 21:00:00,Economics,3.7,4,Quick revision
1,2025-03-25 00:00:00,Math,1.3,3,Completed practice problems
1,2025-03-26 01:00:00,Economics,3.8,2,Summarized key points
1,2025-03-26 20:00:00,Biology,1.2,4,Summarized key points
1,2025-03-27 16:00:00,Biology,3.3,2,Reviewed chapter 3
1,2025-03-28 03:00:00,Math,2.3,0,Quick revision
1,2025-03-29 14:00:00,Computer Science,0.6,1,Focused on weak areas
1,2025-03-30 07:00:00,Computer Science,1.1,2,Reviewed chapter 3
1,2025-04-01 03:00:00,Physics,3.7,2,Watched tutorial videos
1,2025-04-01 18:00:00,Biology,1.4,0,Reviewed chapter 3
1,2025-04-02 11:00:00,Economics,1.4,4,Focused on weak areas
1,2025-04-03 23:00:00,Math,3.7,0,Reviewed chapter 3
1,2025-04-05 22:00:00,Computer Science,1.3,5,Focused on weak areas
1,2025-04-07 01:00:00,Chemistry,3.2,2,Quick revision
1,2025-04-07 11:00:00,Chemistry,1.8,2,Watched tutorial videos
1,2025-04-08 23:00:00,Math,1.8,5,Summarized key points
1,2025-04-10 02:00:00,Physics,3.9,5,Reviewed chapter 3
1,2025-04-11 18:00:00,Economics,1.4,1,Watched tutorial videos
1,2025-04-13 06:00:00,Economics,0.8,5,Watched tutorial videos
1,2025-04-14 15:00:00,Physics,1.6,0,Reviewed chapter 3
1,2025-04-14 19:00:00,Computer Science,3.8,0,Summarized key points
2,2025-01-02 06:00:00,Computer Science,1.4,4,Completed practice problems
2,2025-01-03 14:00:00,Biology,2.6,1,Reviewed chapter 3
2,2025-01-04 02:00:00,Chemistry,1.0,2,Summarized key points
2,2025-01-04 04:00:00,Physics,0.7,5,Reviewed chapter 3
2,2025-01-05 20:00:00,Economics,3.4,3,Reviewed chapter 3
2,2025-01-07 10:00:00,Chemistry,3.0,1,Completed practice problems
2,2025-01-08 23:00:00,Computer Science,2.1,4,Quick revision
2,2025-01-09 21:00:00,Economics,1.6,1,Summarized key points
2,2025-01-10 03:00:00,Computer Science,2.5,3,Completed practice problems
2,2025-01-11 17:00:00,Biology,2.7,3,Focused on weak areas
2,2025-01-12 15:00:00,Chemistry,3.9,5,Reviewed chapter 3
2,2025-01-13 08:00:00,Economics,2.5,5,Reviewed chapter 3
2,2025-01-13 11:00:00,Physics,1.1,4,Quick revision
2,2025-01-13 23:00:00,Chemistry,1.7,5,Watched tutorial videos
2,2025-01-14 06:00:00,Biology,3.8,3,Quick revision
2,2025-01-14 08:00:00,Math,3.9,4,Summarized key points
2,2025-01-15 08:00:00,Math,3.1,0,Summarized key points
2,2025-01-16 11:00:00,Economics,3.8,5,Watched tutorial videos
2,2025-01-17 14:00:00,Physics,2.8,4,Summarized key points
2,2025-01-18 10:00:00,Chemistry,2.0,3,Completed practice problems
2,2025-01-19 05:00:00,Chemistry,3.8,1,Watched tutorial videos
2,2025-01-20 16:00:00,Physics,3.9,1,Completed practice problems
2,2025-01-22 09:00:00,Chemistry,2.8,3,Reviewed chapter 3
2,2025-01-22 16:00:00,Physics,1.6,4,Quick revision
2,2025-01-23 04:00:00,Chemistry,3.7,2,Focused on weak areas
2,2025-01-24 09:00:00,Math,1.3,0,Quick revision
2,2025-01-25 22:00:00,Chemistry,3.8,3,Focused on weak areas
2,2025-01-25 23:00:00,Physics,3.6,5,Watched tutorial videos
2,2025-01-26 03:00:00,Math,1.3,1,Focused on weak areas
2,2025-01-27 00:00:00,Chemistry,2.8,5,Quick revision
2,2025-01-28 02:00:00,Economics,3.1,0,Quick revision
2,2025-01-28 03:00:00,Physics,2.6,3,Reviewed chapter 3
2,2025-01-28 08:00:00,Biology,1.2,4,Completed practice problems
2,2025-01-29 23:00:00,Physics,3.2,0,Watched tutorial videos
2,2025-01-30 13:00:00,Math,2.0,2,Quick revision
2,2025-02-01 10:00:00,Biology,2.1,0,Reviewed chapter 3
2,2025-02-02 22:00:00,Physics,2.7,4,Summarized key points
2,2025-02-03 00:00:00,Math,1.3,2,Completed practice problems
2,2025-02-04 00:00:00,Biology,2.7,0,Summarized key points
2,2025-02-04 17:00:00,Math,1.2,3,Watched tutorial videos
2,2025-02-05 22:00:00,Biology,1.6,0,Focused on weak areas
2,2025-02-06 15:00:00,Computer Science,0.7,4,Watched tutorial videos
2,2025-02-07 15:00:00,Physics,2.5,3,Focused on weak areas
2,2025-02-08 09:00:00,Chemistry,3.2,4,Quick revision
2,2025-02-08 13:00:00,Economics,1.4,1,Focused on weak areas
2,2025-02-08 18:00:00,Biology,1.4,5,Focused on weak areas
2,2025-02-09 12:00:00,Math,1.5,5,Quick revision
2,2025-02-09 15:00:00,Economics,1.1,4,Summarized key points
2,2025-02-11 00:00:00,Physics,3.6,5,Completed practice problems
2,2025-02-11 06:00:00,Physics,0.9,5,Focused on weak areas
2,2025-02-13 00:00:00,Physics,3.5,1,Summarized key points
2,2025-02-13 11:00:00,Economics,0.7,5,Watched tutorial videos
2,2025-02-14 22:00:00,Physics,3.9,0,Summarized key points
2,2025-02-16 07:00:00,Computer Science,2.4,0,Quick revision
2,2025-02-18 00:00:00,Physics,2.4,4,Watched tutorial videos
2,2025-02-19 08:00:00,Computer Science,1.3,5,Summarized key points
2,2025-02-20 09:00:00,Math,0.7,4,Quick revision
2,2025-02-21 17:00:00,Computer Science,4.0,4,Watched tutorial videos
2,2025-02-23 00:00:00,Math,1.0,3,Focused on weak areas
2,2025-02-24 14:00:00,Biology,1.3,2,Completed practice problems
2,2025-02-26 03:00:00,Computer Science,0.8,0,Focused on weak areas
2,2025-02-26 10:00:00,Chemistry,3.4,2,Completed practice problems
2,2025-02-27 05:00:00,Computer Science,2.0,2,Watched tutorial videos
2,2025-02-28 00:00:00,Biology,3.6,1,Focused on weak areas
2,2025-02-28 01:00:00,Biology,2.1,5,Quick revision
2,2025-02-28 08:00:00,Computer Science,2.8,2,Completed practice problems
2,2025-03-02 00:00:00,Physics,1.1,1,Watched tutorial videos
2,2025-03-03 04:00:00,Math,0.8,1,Summarized key points
2,2025-03-05 01:00:00,Math,3.8,3,Watched tutorial videos
2,2025-03-05 14:00:00,Math,2.8,5,Reviewed chapter 3
2,2025-03-06 16:00:00,Biology,1.4,3,Focused on weak areas
2,2025-03-07 10:00:00,Physics,3.0,4,Completed practice problems
2,2025-03-07 22:00:00,Biology,0.9,3,Watched tutorial videos
2,2025-03-09 09:00:00,Biology,0.7,0,Focused on weak areas
2,2025-03-09 19:00:00,Physics,1.5,4,Quick revision
2,2025-03-11 02:00:00,Math,2.1,2,Reviewed chapter 3
2,2025-03-11 03:00:00,Math,3.5,0,Watched tutorial videos
2,2025-03-11 12:00:00,Physics,1.1,5,Completed practice problems
2,2025-03-13 05:00:00,Chemistry,0.9,5,Summarized key points
2,2025-03-14 19:00:00,Biology,2.3,0,Reviewed chapter 3
2,2025-03-16 18:00:00,Physics,2.8,2,Reviewed chapter 3
2,2025-03-17 12:00:00,Physics,2.7,4,Focused on weak areas
2,2025-03-18 01:00:00,Biology,0.9,2,Quick revision
2,2025-03-19 12:00:00,Economics,3.6,5,Completed practice problems
2,2025-03-19 16:00:00,Math,3.2,4,Focused on weak areas
2,2025-03-19 17:00:00,Math,3.4,5,Focused on weak areas
2,2025-03-21 00:00:00,Computer Science,0.8,3,Completed practice problems
2,2025-03-22 04:00:00,Chemistry,0.8,2,Watched tutorial videos
2,2025-03-24 01:00:00,Physics,3.6,1,Summarized key points
2,2025-03-25 14:00:00,Math,0.5,3,Summarized key points
2,2025-03-26 13:00:00,Biology,2.0,5,Quick revision
2,2025-03-27 21:00:00,Biology,3.0,0,Watched tutorial videos
2,2025-03-29 09:00:00,Chemistry,2.1,0,Completed practice problems
2,2025-03-31 07:00:00,Physics,1.5,3,Watched tutorial videos
2,2025-04-01 06:00:00,Computer Science,2.1,4,Reviewed chapter 3
2,2025-04-02 14:00:00,Chemistry,2.9,4,Completed practice problems
